"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.310375094E0,-2.134219409E1,5.549231845E1,6.660720634E1,6.545624555E1,0.000000000E0,2.070703125E2,4.708832866E-2,1.400000000E1,4.000000000E0,-1.000000000E0
3.310375214E0,-2.134219397E1,5.549232516E1,6.543990898E1,6.428895787E1,0.000000000E0,2.070703125E2,4.787836379E-2,3.535533906E0,3.000000000E0,-1.000000000E0
4.310375094E0,-2.134219405E1,5.549233278E1,6.505831718E1,6.390737786E1,0.000000000E0,2.070703125E2,4.874984985E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.310374975E0,-2.134219535E1,5.549234108E1,6.445382500E1,6.330290267E1,6.600000262E-1,1.079296875E2,5.240641830E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.310380340E0,-2.134220466E1,5.549237494E1,6.287954521E1,6.172870604E1,4.280000210E0,1.089843750E2,6.238468137E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.310377598E0,-2.134222766E1,5.549246807E1,6.310140800E1,6.195078862E1,4.280000210E0,1.086328125E2,6.999488355E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.310375452E0,-2.134225059E1,5.549253730E1,6.265383720E1,6.150340130E1,6.789999962E0,1.089843750E2,8.000182941E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.310373664E0,-2.134228076E1,5.549262833E1,6.302078056E1,6.187058601E1,7.969999790E0,1.096875000E2,9.079657748E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.031037414E1,-2.134231613E1,5.549272539E1,6.322329521E1,6.207336905E1,1.139999962E1,1.102906113E2,1.036165262E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.131037402E1,-2.134235918E1,5.549284022E1,6.305941582E1,6.190981130E1,1.275000000E1,1.102906113E2,1.159073775E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.231037378E1,-2.134240167E1,5.549294977E1,6.290365410E1,6.175436140E1,1.218999958E1,1.102906113E2,1.280877400E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.331037140E1,-2.134244192E1,5.549305915E1,6.290366542E1,6.175467654E1,1.218999958E1,1.098078537E2,1.396137687E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.431036866E1,-2.134247728E1,5.549316377E1,6.247300136E1,6.132429222E1,1.218999958E1,1.104813232E2,1.483466568E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.531036794E1,-2.134250793E1,5.549324140E1,6.290347995E1,6.175499364E1,1.088000011E1,1.102198486E2,1.543253117E-1,4.748651530E0,4.029364438E0,-1.000000000E0
